SNDB_record_number,SNDB_study_number,SNDB_date_added,notes,latitude,longitude,lat_lon_notes,elevation,MAT,MAP,climate_type,biome_name,treatment,treatment_level,lyr_top,lyr_bot,horizon,soil_type,ecosystem,wetland_type,plant_species,year_sampled,fraction_scheme,aggregate_size,gluN,murA,galN,manN,microbial_necromass_C,fungal_necromass_C,bacterial_necromass_C,bacterial_biomass_C,fungal_biomass_C,microbial_biomass_C,microbial_biomass_N,soil_OC,soil_C,soil_N,pH,pH_method,clay,silt,sand
32,160,9/1/24,,40.02,72.39,"lat-lon of Sui Checti Valley, Kyrgyzia",2900,10.92,236.51,arid,Montane Grasslands & Shrublands,,,0,10,,,forest,,,,aggregate,0.02-0.250mm,6600,2600,2400,2700,143023.5879,26023.58795,117000,,,,,130.8,130.8,,,,,,
33,160,9/1/24,"calculated FNC is negative, but AS values are correct (as reported in the text)",40.02,72.39,"lat-lon of Sui Checti Valley, Kyrgyzia",2900,10.92,236.51,arid,Montane Grasslands & Shrublands,,,0,10,,,forest,,,,aggregate,0.002-0.02mm,4100,3600,2300,800,162000,0,162000,,,,,130.8,130.8,,,,,,
34,160,9/1/24,,40.02,72.39,"lat-lon of Sui Checti Valley, Kyrgyzia",2900,10.92,236.51,arid,Montane Grasslands & Shrublands,,,0,10,,,forest,,,,aggregate,<0.002mm,11100,4900,6000,300,257498.3004,36998.30036,220500,,,,,130.8,130.8,,,,,,
35,160,9/1/24,,40.02,72.39,"lat-lon of Sui Checti Valley, Kyrgyzia",2900,10.92,236.51,arid,Montane Grasslands & Shrublands,,,0,10,A,,grassland,,,,bulk soil,,7100,500,3500,300,79981.45922,57481.45922,22500,,,,,87.7,87.7,11.5,5.6,CaCl2,19.9,45.3,27.5
36,159,9/1/24,,41.517,123.4,"lat-lon of Sui Checti Valley, Kyrgyzia",,8.39,695.67,snow,Temperate Broadleaf & Mixed Forests,,,0,20,,,cropland,,,,bulk soil,,495,15,,,4937.443777,4262.443777,675,675,4262.41,,,10.02,,1.21,3.51,,4.4,,
37,159,9/1/24,,43.6,124.667,"lat-lon of Sui Checti Valley, Kyrgyzia",,5.98,578.92,snow,Temperate Broadleaf & Mixed Forests,,,0,20,,,cropland,,,,bulk soil,,572.23,35.3,,,6285.421021,4696.921021,1588.5,1588.5,4696.85,,,12.51,,1.52,6,,,,
38,158,9/1/24,,41.31,123.24,,55,8.18,795.71,snow,Temperate Broadleaf & Mixed Forests,,,0,20,,Alfisols,cropland,,,,bulk soil,,690,37,103,,7400.027982,5735.027982,1665,,,,,,11.37,1.21,6,,,,
39,158,9/1/24,,41.31,123.24,,55,8.18,795.71,snow,Temperate Broadleaf & Mixed Forests,,,0,20,,Alfisols,cropland,,,,bulk soil,,549,29,249,,5873.724635,4568.724635,1305,,,,,,11.37,1.21,6,,,,
40,157,9/1/24,,51.46,9.98,,228,7.08,684.49,temperate,Temperate Broadleaf & Mixed Forests,straw,control,0,10,,,cropland,,,1999,bulk soil,,600,31,,,6397.050472,5002.050472,1395,314,,,,,12,1.1,6.9,water,12,14,74
41,157,9/1/24,,51.46,9.98,,228,7.08,684.49,temperate,Temperate Broadleaf & Mixed Forests,straw,maize straw,0,10,,,cropland,,,1999,bulk soil,,680,41,,,7438.679656,5593.679656,1845,393,,,,,,,6.9,water,12,14,74
42,157,9/1/24,,51.46,9.98,,228,7.08,684.49,temperate,Temperate Broadleaf & Mixed Forests,straw,extracted maize straw,0,10,,,cropland,,,1999,bulk soil,,740,36,,,7817.865064,6197.865064,1620,322,,,,,,,6.9,water,12,14,74
43,157,9/1/24,,51.46,9.98,,228,7.08,684.49,temperate,Temperate Broadleaf & Mixed Forests,straw,fumigated + extracted maize,0,10,,,cropland,,,1999,bulk soil,,680,35,,,7245.702145,5670.702145,1575,324,,,,,,,6.9,water,12,14,74
44,156,9/1/24,,47.5,7.55,,301,9,1089.28,temperate,Temperate Broadleaf & Mixed Forests,manure,biodynamic organic,0,5,,Haplic Luvisol,cropland,,,,bulk soil,,780,68,300,,9207.078454,6147.078454,3060,3,6.2,,,16,,2,5.8,0.1 M KCl,,,
45,156,9/1/24,,47.5,7.55,,301,9,1089.28,temperate,Temperate Broadleaf & Mixed Forests,manure,bioorganic,0,5,,Haplic Luvisol,cropland,,,,bulk soil,,740,60,260,,8589.775106,5889.775106,2700,2.7,5.9,,,14.4,,1.8,5.4,0.1 M KCl,16,72,12
46,156,9/1/24,,47.5,7.55,,301,9,1089.28,temperate,Temperate Broadleaf & Mixed Forests,manure,conventional1,0,5,,Haplic Luvisol,cropland,,,,bulk soil,,710,55,230,,8158.960514,5683.960514,2475,2.5,5.7,,,13.5,,1.9,5.3,0.1 M KCl,16,72,12
47,156,9/1/24,,47.5,7.55,,301,9,1089.28,temperate,Temperate Broadleaf & Mixed Forests,manure,conventional2,0,5,,Haplic Luvisol,cropland,,,,bulk soil,,660,45,210,,7387.33133,5362.33133,2025,2,5.4,,,12.3,,,4.5,0.1 M KCl,,,
48,155,9/1/24,,52.25,10.25,,90,9,697.7,temperate,Temperate Broadleaf & Mixed Forests,,,0,10,,Planosols,forest,,,,bulk soil,,2730,210,1840,160,31324.21287,21874.21287,9450,,,610,,,59.9,4.3,3.9,,15,77,8
49,155,9/1/24,,52.25,10.25,,90,9,697.7,temperate,Temperate Broadleaf & Mixed Forests,,,0,10,,Planosols,forest,,,,bulk soil,,2640,140,1550,49,28262.80858,21962.80858,6300,,,520,,,58,2.4,3.9,,6,39,55
50,155,9/1/24,,52.25,10.25,,90,9,697.7,temperate,Temperate Broadleaf & Mixed Forests,,,0,10,,Gleysols,cropland,,,,bulk soil,,1180,140,690,33,15122.80858,8822.808582,6300,,,450,,,18.6,1.8,7,,35,55,10
51,155,9/1/24,,52.25,10.25,,90,9,697.7,temperate,Temperate Broadleaf & Mixed Forests,,,0,10,,Gleysols,cropland,,,,bulk soil,,1190,117,840,,14473.06146,9208.061458,5265,,,360,,,15.1,1.4,7.3,,34,56,10
52,155,9/1/24,,52.25,10.25,,90,9,697.7,temperate,Temperate Broadleaf & Mixed Forests,,,0,10,,Gleysols,cropland,,,,bulk soil,,1400,110,910,,16137.92103,11187.92103,4950,,,200,,,14,1.2,7.8,,18,66,16
53,155,9/1/24,,52.25,10.25,,90,9,697.7,temperate,Temperate Broadleaf & Mixed Forests,,,0,10,,Gleysols,cropland,,,,bulk soil,,980,67,540,,10974.91554,7959.915536,3015,,,180,,,7.8,0.7,7.4,,8,8,84
54,154,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,manure,CK,0,20,,,cropland,,,,bulk soil,,1065.42,60.75,,,11542.6773,8808.927295,2733.75,2733.65,8808.83,,,25.63,,1.99,6.49,,35.78,,
55,154,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,manure,OM0,0,20,,,cropland,,,,bulk soil,,1158.88,74.77,,,12834.74141,9470.091412,3364.65,3364.49,9469.98,,,26.45,,2.08,6.02,,,,
56,154,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,manure,OM1,0,20,,,cropland,,,,bulk soil,,1154.21,70.09,,,12642.18895,9488.138954,3154.05,3154.21,9487.94,,,28.83,,2.2,5.88,,,,
57,154,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,manure,OM2,0,20,,,cropland,,,,bulk soil,,1214.95,79.44,,,13489.57224,9914.772241,3574.8,3574.77,9914.61,,,29.36,,2.29,5.94,,,,
58,154,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,manure,OM3,0,20,,,cropland,,,,bulk soil,,1280.37,70.09,,,13777.62895,10623.57895,3154.05,3154.21,10623.38,,,30.25,,2.51,6.04,,,,
59,154,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,manure,CK,0,20,,,cropland,,,,bulk soil,,1089,58.6,,,11685.74702,9048.747021,2637,2637,9048.62,,,27.23,,2.18,6.11,,,,
60,154,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,manure,NPK,0,20,,,cropland,,,,bulk soil,,1135,64.4,,,12286.29195,9388.291948,2898,2898,9388.15,,,27.77,,2.13,6.12,,40.8,,
61,154,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,manure,NPKS1,0,20,,,cropland,,,,bulk soil,,1167,66.6,,,12645.05037,9648.050368,2997,2997,9647.91,,,28.79,,2.22,6.05,,40.8,,
62,154,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,manure,NPKS2,0,20,,,cropland,,,,bulk soil,,1120,71,,,12363.56721,9168.567209,3195,3195,9168.41,,,28.44,,2.17,5.89,,40.8,,
63,154,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,manure,NPKM,0,20,,,cropland,,,,bulk soil,,1179,88.9,,,13470.28345,9469.783449,4000.5,4000.5,9469.59,,,29.79,,2.41,5.78,,40.8,,
64,153,9/1/24,,47.43,126.63,,196,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,CK,0,20,,,cropland,,maize-soybean-wheat,2011,bulk soil,,1089,58.6,565.4,,11685.74702,9048.747021,2637,,,286,,26.9,27.23,2.18,6.12,water,41.3,32.8,26
65,153,9/1/24,,47.43,126.63,,196,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,NPK,0,20,,,cropland,,maize-soybean-wheat,2011,bulk soil,,1135,64.4,590.9,,12286.29195,9388.291948,2898,,,275,,,27.77,2.13,6.05,water,41.3,32.8,26
66,153,9/1/24,,47.43,126.63,,196,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,NPKS1,0,20,,,cropland,,maize-soybean-wheat,2011,bulk soil,,1167,66.6,594.8,,12645.05037,9648.050368,2997,,,288,,,28.79,2.22,5.89,water,41.3,32.8,26
67,153,9/1/24,,47.43,126.63,,196,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,NPKS2,0,20,,,cropland,,maize-soybean-wheat,2011,bulk soil,,1120,71,620.6,,12363.56721,9168.567209,3195,,,329,,,28.44,2.17,5.78,water,41.3,32.8,26
68,153,9/1/24,,47.43,126.63,,196,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,NPKM,0,20,,,cropland,,maize-soybean-wheat,2011,bulk soil,,1179,88.9,590.6,,13470.28345,9469.783449,4000.5,,,361,,,29.79,2.41,6.1,water,41.3,32.8,26
69,152,9/1/24,,24.367,56.567,,180,27.37,83.72,arid,Deserts & Xeric Shrublands,manure,Initial contents,0,10,,hyperthermic Typic Torrifluvent,cropland,,,2010,bulk soil,,80,26,31,,1556.235879,386.2358795,1170,,,,,7.6,,0.4,,,5,13,82
70,152,9/1/24,,24.367,56.567,,180,27.37,83.72,arid,Deserts & Xeric Shrublands,biochar,Mineral,0,10,,hyperthermic Typic Torrifluvent,cropland,,,2010,bulk soil,,53,23,26,,1216.747124,181.7471241,1035,,,,,8.5,,0.54,,,5,13,82
71,152,9/1/24,,24.367,56.567,,180,27.37,83.72,arid,Deserts & Xeric Shrublands,manure,Manure,0,10,,hyperthermic Typic Torrifluvent,cropland,,,2010,bulk soil,,70,28,32,,1530.561716,270.5617164,1260,,,,,9.1,,0.63,,,5,13,82
72,152,9/1/24,,24.367,56.567,,180,27.37,83.72,arid,Deserts & Xeric Shrublands,biochar,Manure fed charcoal,0,10,,hyperthermic Typic Torrifluvent,cropland,,,2010,bulk soil,,64,29,30,,1508.724635,203.7246348,1305,,,,,10.6,,0.67,,,5,13,82
73,152,9/1/24,,24.367,56.567,,180,27.37,83.72,arid,Deserts & Xeric Shrublands,biochar,Manure mix charcoal,0,10,,hyperthermic Typic Torrifluvent,cropland,,,2010,bulk soil,,70,27,31,,1498.398798,283.3987979,1215,,,,,10.5,,0.64,,,5,13,82
74,152,9/1/24,,24.367,56.567,,180,27.37,83.72,arid,Deserts & Xeric Shrublands,,Manure fed tannin,0,10,,hyperthermic Typic Torrifluvent,cropland,,,2010,bulk soil,,80,30,34,,1684.887553,334.8875532,1350,,,,,9.6,,0.7,,,5,13,82
75,152,9/1/24,,24.367,56.567,,180,27.37,83.72,arid,Deserts & Xeric Shrublands,,Manure mix tannin,0,10,,hyperthermic Typic Torrifluvent,cropland,,,2010,bulk soil,,66,28,31,,1494.561716,234.5617164,1260,,,,,10.3,,0.68,,,5,13,82
76,152,9/1/24,,24.367,56.567,,180,27.37,83.72,arid,Deserts & Xeric Shrublands,,Mineral,0,10,,hyperthermic Typic Torrifluvent,cropland,,,2010,bulk soil,,66,25,24,,1398.072961,273.072961,1125,,,,,5.7,,0.32,,,5,13,82
77,152,9/1/24,,24.367,56.567,,180,27.37,83.72,arid,Deserts & Xeric Shrublands,,Manure,0,10,,hyperthermic Typic Torrifluvent,cropland,,,2010,bulk soil,,127,41,44,,2461.679656,616.6796561,1845,,,,,7.6,,0.54,,,5,13,82
78,152,9/1/24,,24.367,56.567,,180,27.37,83.72,arid,Deserts & Xeric Shrublands,,Manure fed charcoal,0,10,,hyperthermic Typic Torrifluvent,cropland,,,2010,bulk soil,,126,44,45,,2549.168411,569.1684114,1980,,,,,9.3,,0.54,,,5,13,82
79,152,9/1/24,,24.367,56.567,,180,27.37,83.72,arid,Deserts & Xeric Shrublands,,Manure mix charcoal,0,10,,hyperthermic Typic Torrifluvent,cropland,,,2010,bulk soil,,109,36,38,,2138.865064,518.8650639,1620,,,,,9.1,,0.46,,,5,13,82
80,152,9/1/24,,24.367,56.567,,180,27.37,83.72,arid,Deserts & Xeric Shrublands,,Manure fed tannin,0,10,,hyperthermic Typic Torrifluvent,cropland,,,2010,bulk soil,,117,38,41,,2275.190901,565.1909008,1710,,,,,7.8,,0.57,,,5,13,82
81,152,9/1/24,,24.367,56.567,,180,27.37,83.72,arid,Deserts & Xeric Shrublands,,Manure mix tannin,0,10,,hyperthermic Typic Torrifluvent,cropland,,,2010,bulk soil,,116,42,41,,2394.842575,504.8425745,1890,,,,,8,,0.54,,,5,13,82
82,151,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,CK,0,20,,phaeozems/udolls,cropland,,,,bulk soil,,1037,86.8,,,12124.74132,8218.741321,3906,,,157,,27.1,,2,6.1,,41,33,26
83,151,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,NP,0,20,,phaeozems/udolls,cropland,,,,bulk soil,,1105,89.9,,,12836.44637,8790.946368,4045.5,,,193,,29.2,,,,,41,33,26
84,151,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,NPM,0,20,,phaeozems/udolls,cropland,,,,bulk soil,,1422,105,,,16175.10644,11450.10644,4725,,,333,,33.4,,,,,41,33,26
85,151,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,CK,0,20,,phaeozems/udolls,cropland,,,,aggregate,>2mm,1054,80.6,,,12078.33123,8451.331226,3627,,,,,34.8,,,,,41,33,26
86,151,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,NP,0,20,,phaeozems/udolls,cropland,,,,aggregate,>2mm,1139,86.6,,,13036.30874,9139.308737,3897,,,,,38.3,,,,,41,33,26
87,151,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,NPM,0,20,,phaeozems/udolls,cropland,,,,aggregate,>2mm,1467,103,,,16515.7806,11880.7806,4635,,,,,53.9,,,,,41,33,26
88,151,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,CK,0,20,,phaeozems/udolls,cropland,,,,aggregate,0.250-2mm,1140,87.1,,,13061.3902,9141.890196,3919.5,,,,,33.8,,,,,41,33,26
89,151,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,NP,0,20,,phaeozems/udolls,cropland,,,,aggregate,0.250-2mm,1164,87.3,,,13283.82278,9355.32278,3928.5,,,,,33.1,,,,,41,33,26
90,151,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,NPM,0,20,,phaeozems/udolls,cropland,,,,aggregate,0.250-2mm,1492,103,,,16740.7806,12105.7806,4635,,,,,46,,,,,41,33,26
91,151,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,CK,0,20,,phaeozems/udolls,cropland,,,,aggregate,0.053-0.250mm,1143,90.7,,,13204.1767,9122.676703,4081.5,,,,,32.1,,,,,41,33,26
92,151,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,NP,0,20,,phaeozems/udolls,cropland,,,,aggregate,0.053-0.250mm,1100,97.7,,,13042.31713,8645.817132,4396.5,,,,,32.8,,,,,41,33,26
93,151,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,NPM,0,20,,phaeozems/udolls,cropland,,,,aggregate,0.053-0.250mm,1394,129,,,16695.01648,10890.01648,5805,,,,,37.9,,,,,41,33,26
94,151,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,CK,0,20,,phaeozems/udolls,cropland,,,,aggregate,<0.053mm,798,77.3,,,9668.193596,6189.693596,3478.5,,,,,20,,,,,41,33,26
95,151,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,NP,0,20,,phaeozems/udolls,cropland,,,,aggregate,<0.053mm,803,69.4,,,9459.10654,6336.10654,3123,,,,,20,,,,,41,33,26
96,151,9/1/24,,47.433,126.633,,,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,NPM,0,20,,phaeozems/udolls,cropland,,,,aggregate,<0.053mm,975,79.7,,,11338.3846,7751.8846,3586.5,,,,,22.8,,,,,41,33,26
97,151,9/1/24,,47.43,126.63,,196,1.97,543.87,snow,Temperate Broadleaf & Mixed Forests,fertilizer,manure,0,20,,,cropland,,,,bulk soil,,1037,86.8,,,12124.74132,8218.741321,3906,,,,,27.1,,2,5.8,,41,33,26
